trial_id,environment_id,profile_seconds,run_number,attempt_number,mime_type,valid,invalid_reason,recording_started_ms,stop_requested_ms,recorder_stop_called_ms,last_dataavailable_ms,stop_event_ms,blob_completed_ms,visibility_change_count,started_visibility_state,ended_visibility_state,blob_size_bytes,webm_duration_seconds,wav_duration_seconds,duration_method_difference_seconds,stop_request_delay_seconds,stop_call_delay_seconds,recorder_tail_seconds,total_overrun_seconds
env-c-p010-r01-a03,env-c,10,1,3,audio/webm;codecs=opus,true,null,,,,,,,0,visible,visible,,9.960061,10.02,0.059939,,,,-0.039939
env-c-p040-r01-a03,env-c,40,1,3,audio/webm;codecs=opus,true,null,,,,,,,0,visible,visible,,39.960105,40.02,0.059895000000004,,,,-0.039895000000001
env-c-p060-r01-a03,env-c,60,1,3,audio/webm;codecs=opus,true,null,,,,,,,0,visible,visible,,59.940316,60,0.059683999999997,,,,-0.059683999999997
env-c-p090-r01-a03,env-c,90,1,3,audio/webm;codecs=opus,true,null,,,,,,,0,visible,visible,,89.93982,90,0.060180000000003,,,,-0.060180000000003
env-c-p120-r01-a03,env-c,120,1,3,audio/webm;codecs=opus,true,null,,,,,,,0,visible,visible,,119.999726,120.06,0.060274000000007,,,,-0.00027400000000455
env-c-p120-r02-a03,env-c,120,2,3,audio/webm;codecs=opus,true,null,,,,,,,0,visible,visible,,119.940875,120,0.059124999999995,,,,-0.059124999999995
env-c-p120-r03-a03,env-c,120,3,3,audio/webm;codecs=opus,true,null,,,,,,,0,visible,visible,,120.000007,120.06,0.059993000000006,,,,6.9999999965376E-6
env-c-p120-r04-a03,env-c,120,4,3,audio/webm;codecs=opus,true,null,,,,,,,0,visible,visible,,119.940171,120,0.059828999999993,,,,-0.059828999999993
env-c-p120-r05-a03,env-c,120,5,3,audio/webm;codecs=opus,true,null,,,,,,,0,visible,visible,,120.000039,120.06,0.059961000000001,,,,3.900000000101E-5
