trial_id,environment_id,profile_seconds,run_number,attempt_number,mime_type,valid,invalid_reason,recording_started_ms,stop_requested_ms,recorder_stop_called_ms,last_dataavailable_ms,stop_event_ms,blob_completed_ms,visibility_change_count,started_visibility_state,ended_visibility_state,blob_size_bytes,webm_duration_seconds,wav_duration_seconds,duration_method_difference_seconds,stop_request_delay_seconds,stop_call_delay_seconds,recorder_tail_seconds,total_overrun_seconds
env-d-p010-r01-a03,env-d,10,1,3,audio/webm; codecs=opus,true,null,0,10004,10004,10013,10014,10014,0,visible,visible,268351,9.985000000000001,9.9925,0.007499999999998508,0.0039999999999995595,0,-0.01899999999999835,-0.014999999999998792
env-d-p040-r01-a03,env-d,40,1,3,audio/webm; codecs=opus,true,null,0,40002,40002,40025,40026,40026,0,visible,visible,1094513,40.023,40.03,0.006999999999997897,0.0020000000000024443,0,0.021000000000000796,0.02300000000000324
env-d-p060-r01-a03,env-d,60,1,3,audio/webm; codecs=opus,true,null,0,60002,60002,60031,60031,60031,0,visible,visible,1664419,60.010000000000005,60.0175,0.007499999999993179,0.0020000000000024443,0,0.008000000000002672,0.010000000000005116
env-d-p090-r01-a03,env-d,90,1,3,audio/webm; codecs=opus,true,null,0,90002,90002,90038,90038,90038,0,visible,visible,2455529,90.005,90.0125,0.00750000000000739,0.001999999999995339,0,0.0030000000000001137,0.0049999999999954525
env-d-p120-r01-a03,env-d,120,1,3,audio/webm; codecs=opus,true,null,0,120001,120001,120045,120046,120046,0,visible,visible,3256510,120,120.00750000000001,0.00750000000000739,0.0010000000000047748,0,-0.0010000000000047748,0
env-d-p040-r02-a03,env-d,40,2,3,audio/webm; codecs=opus,true,null,0,40003,40003,40023,40024,40024,0,visible,visible,1082606,40,40.0075,0.007500000000000284,0.0030000000000001137,0,-0.0030000000000001137,0
env-d-p040-r03-a03,env-d,40,3,3,audio/webm; codecs=opus,true,null,0,40002,40002,40023,40023,40023,0,visible,visible,1088835,40,40.0075,0.007500000000000284,0.0020000000000024443,0,-0.0020000000000024443,0
env-d-p040-r04-a03,env-d,40,4,3,audio/webm; codecs=opus,true,null,0,40003,40003,40023,40024,40024,0,visible,visible,1096763,40,40.0075,0.007500000000000284,0.0030000000000001137,0,-0.0030000000000001137,0
env-d-p040-r05-a03,env-d,40,5,3,audio/webm; codecs=opus,true,null,0,40002,40002,40023,40023,40023,0,visible,visible,1081489,40,40.0075,0.007500000000000284,0.0020000000000024443,0,-0.0020000000000024443,0
