trial_id,environment_id,profile_seconds,run_number,attempt_number,mime_type,valid,invalid_reason,recording_started_ms,stop_requested_ms,recorder_stop_called_ms,last_dataavailable_ms,stop_event_ms,blob_completed_ms,visibility_change_count,started_visibility_state,ended_visibility_state,blob_size_bytes,webm_duration_seconds,wav_duration_seconds,duration_method_difference_seconds,stop_request_delay_seconds,stop_call_delay_seconds,recorder_tail_seconds,total_overrun_seconds
env-b-p010-r01-a01,env-b,10,1,1,audio/webm;codecs=opus,true,null,0,10001.200000003,10001.200000003,10019.899999999,10020,10020.5,0,visible,visible,161618,9.959999,10.02,0.060001,0.0012000000029797,0,-0.04120100000298,-0.040001
env-b-p040-r01-a01,env-b,40,1,1,audio/webm;codecs=opus,true,null,0,40004.199999996,40004.199999996,40006.199999996,40006.399999999,40007.599999994,0,visible,visible,644650,40.000105,40.02,0.019895000000005,0.004199999995528,0,-0.0040949999955302,0.0001049999999978
env-b-p060-r01-a01,env-b,60,1,1,audio/webm;codecs=opus,true,null,0,60006.700000003,60006.700000003,60012.300000004,60012.399999999,60012.800000004,0,visible,visible,967326,60.000031,60.06,0.059969000000002,0.0067000000029793,0,-0.0066690000029794,3.0999999999892E-5
env-b-p090-r01-a01,env-b,90,1,1,audio/webm;codecs=opus,true,null,0,90002.100000001,90002.100000001,90005,90005.100000001,90006.700000003,0,visible,visible,1450326,89.999984,90.06,0.060016000000005,0.0021000000014908,0,-0.002116000001493,-1.6000000002236E-5
env-b-p120-r01-a01,env-b,120,1,1,audio/webm;codecs=opus,true,null,0,120009.3,120009.3,120012,120012.2,120014.09999999,0,visible,visible,1933360,120.000015,120.06,0.059984999999998,0.009299999997026,0,-0.0092849999970213,1.5000000004761E-5
env-b-p090-r02-a01,env-b,90,2,1,audio/webm;codecs=opus,true,null,0,90004.4,90004.4,90006.1,90006.2,90006.5,0,visible,visible,1450326,90.000062,90.06,0.059938000000002,0.0043999999999045,0,-0.0043379999999047,6.1999999999784E-5
env-b-p090-r03-a01,env-b,90,3,1,audio/webm;codecs=opus,true,null,0,90000.4,90000.5,90002.8,90002.9,90004.3,0,visible,visible,1450360,90.000046,90.06,0.059954000000005,0.0003999999999138,0.00010000000009313,-0.00035399999991625,4.5999999997548E-5
env-b-p090-r04-a01,env-b,90,4,1,audio/webm;codecs=opus,true,null,0,90000.8,90000.8,90003.3,90003.5,90004.3,0,visible,visible,1450360,90.000039,90.06,0.059961000000001,0.00080000000004077,0,-0.00076100000003976,3.900000000101E-5
env-b-p090-r05-a01,env-b,90,5,1,audio/webm;codecs=opus,true,null,0,90007.2,90007.2,90009.7,90009.8,90010.1,0,visible,visible,1450360,90.000093,90.06,0.059906999999995,0.0072000000001822,0,-0.0071070000001754,9.3000000006782E-5
